Alsum18-2019,43.21723,-90.16774,1,2,3,4,5,6.0,7.0
Alsum59-2019,43.209921,-90.207351,29,30,31,32,33,34.0,35.0
Arlington-2019,43.30438055,-89.33189999,66,67,68,69,70,71.0,72.0
ColomaBonus4-2019,44.0428262,-89.6167801,93,94,95,96,97,98.0,99.0
ColomaBonus-2019,44.0098608,-89.5998251,101,102,103,104,105,106.0,107.0
ColomaLyons-2019,44.024106,-89.603559,125,126,127,128,129,130.0,131.0
XMASBig-2019,44.18041731,-89.62019839,139,140,141,142,143,,
OkrayGarrisonNE-2019,44.36995,-89.612148,159,160,161,162,163,164.0,165.0
OkrayRobacks-2019,44.441325,-89.609514,296,297,298,299,300,301.0,302.0
OkrayGrosheks40-2019,44.437271,-89.570611,304,305,306,307,308,309.0,310.0
OkrayPFWiper-2019,44.416229,-89.592241,340,341,342,343,344,,
PloverBrikalskiPats-2019,44.554466,-89.496602,354,355,356,357,358,359.0,360.0
PloverDaveBrSE-2019,44.53635,-89.491872,378,379,380,381,382,383.0,384.0
Wysocki1129-2019,44.272736,-89.711443,402,403,404,405,406,407.0,408.0
Wysocki438-2019,44.266751,-89.56392,426,427,428,429,430,431.0,432.0
Wysocki563-2019,44.320808,-89.506422,450,451,452,453,454,455.0,456.0
Wysocki570-2019,44.328258,-89.513657,458,459,460,461,462,463.0,464.0
